,train
0,normal_001
1,normal_002
2,normal_003
3,normal_004
4,normal_005
5,normal_006
6,normal_007
7,normal_008
8,normal_009
9,normal_010
10,normal_011
11,normal_012
12,normal_013
13,normal_014
14,normal_015
15,normal_016
16,normal_017
17,normal_018
18,normal_019
19,normal_020
20,normal_021
21,normal_022
22,normal_023
23,normal_024
24,normal_025
25,normal_026
26,normal_027
27,normal_028
28,normal_029
29,normal_030
30,normal_031
31,normal_032
32,normal_033
33,normal_034
34,normal_035
35,normal_036
36,normal_037
37,normal_038
38,normal_039
39,normal_040
40,normal_041
41,normal_042
42,normal_043
43,normal_044
44,normal_045
45,normal_046
46,normal_047
47,normal_048
48,normal_049
49,normal_050
50,normal_051
51,normal_052
52,normal_053
53,normal_054
54,normal_055
55,normal_056
56,normal_057
57,normal_058
58,normal_059
59,normal_060
60,normal_061
61,normal_062
62,normal_063
63,normal_064
64,normal_065
65,normal_066
66,normal_067
67,normal_068
68,normal_069
69,normal_070
70,normal_071
71,normal_072
72,normal_073
73,normal_074
74,normal_075
75,normal_076
76,normal_077
77,normal_078
78,normal_079
79,normal_080
80,normal_081
81,normal_082
82,normal_083
83,normal_084
84,normal_085
85,normal_087
86,normal_088
87,normal_089
88,normal_090
89,normal_091
90,normal_092
91,normal_093
92,normal_094
93,normal_095
94,normal_096
95,normal_097
96,normal_098
97,normal_099
98,normal_100
99,normal_101
100,normal_102
101,normal_103
102,normal_104
103,normal_105
104,normal_106
105,normal_107
106,normal_108
107,normal_109
108,normal_110
109,normal_111
110,normal_112
111,normal_113
112,normal_114
113,normal_115
114,normal_116
115,normal_117
116,normal_118
117,normal_119
118,normal_120
119,normal_121
120,normal_122
121,normal_123
122,normal_124
123,normal_125
124,normal_126
125,normal_127
126,normal_128
127,normal_129
128,normal_130
129,normal_131
130,normal_132
131,normal_133
132,normal_134
133,normal_135
134,normal_136
135,normal_137
136,normal_138
137,normal_139
138,normal_140
139,normal_141
140,normal_142
141,normal_143
142,normal_144
143,normal_145
144,normal_146
145,normal_147
146,normal_148
147,normal_149
148,normal_150
149,normal_151
150,normal_152
151,normal_153
152,normal_154
153,normal_155
154,normal_156
155,normal_157
156,normal_158
157,normal_159
158,tumor_001
159,tumor_002
160,tumor_003
161,tumor_004
162,tumor_005
163,tumor_006
164,tumor_007
165,tumor_008
166,tumor_009
167,tumor_010
168,tumor_011
169,tumor_012
170,tumor_013
171,tumor_014
172,tumor_015
173,tumor_016
174,tumor_017
175,tumor_018
176,tumor_019
177,tumor_020
178,tumor_021
179,tumor_022
180,tumor_023
181,tumor_024
182,tumor_025
183,tumor_026
184,tumor_027
185,tumor_028
186,tumor_029
187,tumor_030
188,tumor_031
189,tumor_032
190,tumor_033
191,tumor_034
192,tumor_035
193,tumor_036
194,tumor_037
195,tumor_038
196,tumor_039
197,tumor_040
198,tumor_041
199,tumor_042
200,tumor_043
201,tumor_044
202,tumor_045
203,tumor_046
204,tumor_047
205,tumor_048
206,tumor_049
207,tumor_050
208,tumor_051
209,tumor_052
210,tumor_053
211,tumor_054
212,tumor_055
213,tumor_056
214,tumor_057
215,tumor_058
216,tumor_059
217,tumor_060
218,tumor_061
219,tumor_062
220,tumor_063
221,tumor_064
222,tumor_065
223,tumor_066
224,tumor_067
225,tumor_068
226,tumor_069
227,tumor_070
228,tumor_071
229,tumor_072
230,tumor_073
231,tumor_074
232,tumor_075
233,tumor_076
234,tumor_077
235,tumor_078
236,tumor_079
237,tumor_080
238,tumor_081
239,tumor_082
240,tumor_083
241,tumor_084
242,tumor_085
243,tumor_086
244,tumor_087
245,tumor_088
246,tumor_089
247,tumor_090
248,tumor_091
249,tumor_092
250,tumor_093
251,tumor_094
252,tumor_095
253,tumor_096
254,tumor_097
255,tumor_098
256,tumor_099
257,tumor_100
258,tumor_101
259,tumor_102
260,tumor_103
261,tumor_104
262,tumor_105
263,tumor_106
264,tumor_107
265,tumor_108
266,tumor_109
267,tumor_110
